#IDX KIND POS_X POS_Y POS_Z EUL_PSI EUL_THETA EUL_PHI
336 turn -8.5 -1.5 -2.5 1.57079632679 -0.0 3.14159265359
337 turntwist -9.5 -1.5 -2.5 3.14159265359 1.57079632679 0
338 turn -9.5 -1.5 -3.5 3.14159265359 -0.0 0.0
339 turntwist -8.5 -1.5 -3.5 1.57079632679 -0.0 1.57079632679
340 turn -8.5 -0.5 -3.5 1.57079632679 -0.0 3.14159265359
341 turntwist -9.5 -0.5 -3.5 0.0 -1.57079632679 0
342 turn -9.5 -0.5 -2.5 0.0 -0.0 0.0
343 turn -8.5 -0.5 -2.5 -3.14159265359 -1.57079632679 0
344 straight -8.5 -0.5 -1.5 0.0 -0.0 -1.57079632679
345 turntwist -8.5 -0.5 -0.5 0.0 -0.0 -1.57079632679
346 turn -8.5 -1.5 -0.5 1.57079632679 1.57079632679 0
347 turntwist -8.5 -1.5 -1.5 3.14159265359 -0.0 3.14159265359
348 turn -9.5 -1.5 -1.5 0.0 -1.57079632679 0
349 turntwist -9.5 -1.5 -0.5 0.0 -0.0 1.57079632679
350 turn -9.5 -0.5 -0.5 -1.57079632679 1.57079632679 0
351 turntwist -9.5 -0.5 -1.5 3.14159265359 -0.0 3.14159265359
352 turn -10.5 -0.5 -1.5 0.0 -1.57079632679 0
353 turntwist -10.5 -0.5 -0.5 0.0 -0.0 -1.57079632679
354 turn -10.5 -1.5 -0.5 1.57079632679 1.57079632679 0
355 turntwist -10.5 -1.5 -1.5 3.14159265359 -0.0 3.14159265359
356 turn -11.5 -1.5 -1.5 0.0 -1.57079632679 0
357 turntwist -11.5 -1.5 -0.5 0.0 -0.0 1.57079632679
358 turn -11.5 -0.5 -0.5 -1.57079632679 1.57079632679 0
359 straight -11.5 -0.5 -1.5 3.14159265359 -0.0 3.14159265359
360 turntwist -11.5 -0.5 -2.5 3.14159265359 -0.0 0.0
361 turn -10.5 -0.5 -2.5 0.0 1.57079632679 0
362 turn -10.5 -0.5 -3.5 3.14159265359 -0.0 3.14159265359
